OBJECTID,stationid,lat,long,River_Mout,POTW_Statu,POTW_Name,Stratum
47,B18-10772,33.802709999999998,-118.205410000000001,,,,Freshwater Estuary
48,B18-10774,33.798180000000002,-118.205200000000005,,,,Freshwater Estuary
49,B18-10776,33.792850000000001,-118.205110000000005,,,,Freshwater Estuary
50,B18-10778,33.787529999999997,-118.204750000000004,,,,Freshwater Estuary
51,B18-10200,32.617840000000001,-117.098240000000004,,,,
52,B18-10193,33.203409999999998,-117.390780000000007,,,,
53,B18-10192,33.387169999999998,-117.593379999999996,,,,
54,B18-10199,32.658329999999999,-117.083079999999995,,,,Freshwater Estuary
55,B18-10184,34.276829999999997,-119.307460000000006,,,,
56,B18-10382,34.115816670000001,-119.936883300000005,,,,Channel Islands
57,B18-10383,34.113475970000003,-120.024021000000005,,,,Channel Islands
58,B18-10384,34.101570359999997,-120.142333399999998,,,,Channel Islands
59,B18-10385,34.079716670000003,-119.511233300000001,,,,Channel Islands
60,B18-10386,34.078850000000003,-119.701816699999995,,,,Channel Islands
61,B18-10387,34.075466669999997,-119.749549999999999,,,,Channel Islands
62,B18-10388,34.066549999999999,-119.589100000000002,,,,Channel Islands
63,B18-10389,34.058697199999997,-119.497073900000004,,,,Channel Islands
64,B18-10390,34.045446310000003,-120.489954999999995,,,,Channel Islands
65,B18-10391,34.034999999999997,-119.350983299999996,,,,Channel Islands
66,B18-10392,34.031163079999999,-119.423912000000001,,,,Channel Islands
67,B18-10393,34.012037110000001,-120.474664599999997,,,,Channel Islands
68,B18-10394,33.994868500000003,-120.336950299999998,,,,Channel Islands
69,B18-10395,33.965616670000003,-119.852516699999995,,,,Channel Islands
70,B18-10396,33.912620500000003,-119.947905199999994,,,,Channel Islands
71,B18-10168,33.140210000000003,-117.324240000000003,,,,Estuaries
72,B18-10169,33.139820000000000,-117.318790000000007,,,,Estuaries
73,B18-10170,33.139029999999998,-117.337469999999996,,,,Estuaries
74,B18-10146,33.963929999999998,-118.451949999999997,,,,Estuaries
75,B18-10672,33.972110000000001,-118.459379999999996,,,,Estuaries
76,B18-10171,33.089919999999999,-117.278480000000002,,,,Estuaries
77,B18-10172,33.089599999999997,-117.294589999999999,,,,Estuaries
78,B18-10173,33.089520000000000,-117.284980000000004,,,,Estuaries
79,B18-10155,33.703369000000002,-118.053168999999997,,,,Estuaries
80,B18-10156,33.696249999999999,-118.046040000000005,,,,Estuaries
81,B18-10397,33.855888999999998,-118.279523999999995,,,,Freshwater Estuary
82,B18-10674,33.794260000000001,-118.229416000000001,,,,Estuaries
83,B18-10760,33.840000000000003,-118.269999999999996,,,,
84,B18-10152,33.727800000000002,-118.072490000000002,,,,Estuaries
85,B18-10149,33.766350000000003,-118.104380000000006,,,,Estuaries
86,B18-10148,33.777830000000002,-118.205309999999997,,,,Estuaries
87,B18-10677,33.775199999999998,-118.205810000000000,,,,Estuaries
88,B18-10150,33.761440000000000,-118.200100000000006,Los Angeles River,,,Estuaries
89,B18-10175,32.932580000000002,-117.258120000000005,,,,Estuaries
90,B18-10158,33.646769999999997,-117.884619999999998,,,,Estuaries
91,B18-10159,33.645820000000001,-117.888679999999994,,,,
92,B18-10161,33.631590000000003,-117.886439999999993,,,,Estuaries
93,B18-10163,33.624160000000003,-117.892560000000003,,,,Estuaries
94,B18-10164,33.621350000000000,-117.894790000000000,,,,Estuaries
95,B18-10165,33.617970000000000,-117.903899999999993,,,,Estuaries
96,B18-10201,32.598920000000000,-117.115889999999993,,,,
97,B18-10824,32.588540000000002,-117.107630000000000,,,,
98,B18-10195,32.804510000000001,-117.222960000000000,,,,
99,B18-10178,32.687530000000002,-117.130870000000002,,,,Estuaries
100,B18-10179,32.649679999999996,-117.108630000000005,,,,Estuaries
101,B18-10180,32.647770000000001,-117.116439999999997,,,,Estuaries
102,B18-10181,32.648190000000000,-117.113399999999999,,,,Estuaries
103,B18-10176,32.757779999999997,-117.227289999999996,,,,Freshwater Estuary
104,B18-10177,32.757030000000000,-117.235240000000005,,,,Estuaries
105,B18-10196,32.760530000000003,-117.210380000000001,,,,Freshwater Estuary
106,B18-10197,32.758870000000002,-117.216399999999993,,,,Freshwater Estuary
107,B18-10198,32.757989999999999,-117.224739999999997,,,,Freshwater Estuary
108,B18-10194,32.976250000000000,-117.247870000000006,,,,
109,B18-10174,32.973089999999999,-117.249520000000004,,,,Estuaries
110,B18-10151,33.753010000000003,-118.105279999999993,,,,Estuaries
111,B18-10658,34.234630000000003,-119.257530000000003,,,,
112,B18-10166,33.233060000000002,-117.413359999999997,,,,Estuaries
113,B18-10167,33.231400000000001,-117.412329999999997,,,,
114,B18-10162,33.637349999999998,-117.963639999999998,,,,Estuaries
115,B18-10182,32.556939999999997,-117.127549999999999,,,,Estuaries
116,B18-10206,34.398249999999997,-119.865229999999997,,,,Mid Shelf
117,B18-10207,34.396092600000003,-119.662307100000007,,Small,Summerland,Inner Shelf
118,B18-10208,34.334090000000003,-119.434640000000002,,,,Inner Shelf
119,B18-10209,34.283529999999999,-119.354370000000003,,,,Inner Shelf
120,B18-10210,34.243560000000002,-119.385310000000004,,,,Inner Shelf
121,B18-10211,34.228369999999998,-119.352000000000004,,,,Inner Shelf
122,B18-10212,34.199240000000003,-119.296419999999998,,,,Inner Shelf
123,B18-10213,34.178730000000002,-119.346840000000000,,,,Inner Shelf
124,B18-10838,34.412599999999998,-119.895859999999999,,,,Inner Shelf
125,B18-10214,34.124929999999999,-119.192719999999994,,Small,Oxnard,Inner Shelf
126,B18-10215,34.101280000000003,-119.151107999999994,,,,Inner Shelf
127,B18-10216,34.036679999999997,-118.916709999999995,,,,Inner Shelf
128,B18-10217,34.033310000000000,-118.864109999999997,,,,Inner Shelf
129,B18-10231,33.307229999999997,-117.523380000000003,,,,Inner Shelf
130,B18-10232,33.099890000000002,-117.326520000000002,,,,Inner Shelf
131,B18-10233,33.039990000000003,-117.311880000000002,,,,Inner Shelf
132,B18-10875,33.175339999999998,-117.403520000000000,,,,Inner Shelf
133,B18-10876,33.007120000000000,-117.297929999999994,,Small,San Elijo,Inner Shelf
134,B18-10229,33.520828250000001,-117.770233200000007,Aliso Creek,,,Inner Shelf
135,B18-10230,33.430690769999998,-117.658233600000003,,,,Inner Shelf
136,B18-10224,33.695250000000001,-118.295980000000000,,Large,JWPCP,Inner Shelf
137,B18-10880,32.653060000000004,-117.214950000000002,,,,Inner Shelf
138,B18-10220,33.733470920000002,-118.122070300000004,San Gabriel River,,,Inner Shelf
139,B18-10222,33.710208889999997,-118.221809399999998,,,,Inner Shelf
140,B18-10223,33.705139160000002,-118.191848800000002,,,,Inner Shelf
141,B18-10225,33.659790039999997,-118.130943299999998,,,,Inner Shelf
142,B18-10226,33.643600460000002,-118.078758199999996,,,,Inner Shelf
143,B18-10227,33.627761839999998,-117.987548799999999,Santa Ana River,,,Inner Shelf
144,B18-10228,33.618999479999999,-118.041778600000001,,,,Inner Shelf
145,B18-10218,34.023133330000000,-118.593616699999998,,,,Inner Shelf
146,B18-10219,33.962299999999999,-118.476066700000004,Ballona Creek,,,Inner Shelf
147,B18-10237,32.659869999999998,-117.168509999999998,,,,Inner Shelf
148,B18-10238,32.639290000000003,-117.186629999999994,,,,Inner Shelf
149,B18-10239,32.612050000000004,-117.143420000000006,,,,Inner Shelf
150,B18-10240,32.534419999999997,-117.169229999999999,,,,Inner Shelf
151,B18-10203,34.443249999999999,-120.429730000000006,,,,Inner Shelf
152,B18-10352,34.217199999999998,-119.914100000000005,,,,Lower Slope
153,B18-10354,33.935690000000001,-118.897239999999996,,,,Lower Slope
154,B18-10357,33.852089999999997,-119.194299999999998,,,,Lower Slope
155,B18-10367,33.464279169999998,-117.919776900000002,,,,Lower Slope
156,B18-10369,33.452289579999999,-117.776840199999995,,,,Lower Slope
157,B18-10370,33.354339600000003,-118.043113700000006,,,,Lower Slope
158,B18-10371,33.317470550000003,-118.160530100000003,,,,Lower Slope
159,B18-10373,33.274108890000001,-118.086326600000007,,,,Lower Slope
160,B18-10372,33.305790000000002,-117.697969999999998,,,,Lower Slope
161,B18-10374,33.146430000000002,-117.742869999999996,,,,Lower Slope
162,B18-10375,33.101819999999996,-117.631090000000000,,,,Lower Slope
163,B18-10376,33.052160000000001,-117.454170000000005,,,,Lower Slope
164,B18-10377,33.032350000000001,-117.668760000000006,,,,Lower Slope
165,B18-10378,32.977179999999997,-117.694450000000003,,,,Lower Slope
166,B18-10380,32.931719999999999,-117.394700000000000,,,,Lower Slope
167,B18-10381,32.851019999999998,-117.410799999999995,,,,Lower Slope
168,B18-10361,33.637939449999998,-118.302360500000006,,,,Lower Slope
169,B18-10362,33.634709999999998,-118.583629999999999,,,,Lower Slope
170,B18-10364,33.579498289999997,-118.328743000000003,,,,Lower Slope
171,B18-10365,33.536450000000002,-118.589399999999998,,,,Lower Slope
172,B18-10366,33.486899999999999,-118.423559999999995,,,,Lower Slope
173,B18-10368,33.463929999999998,-118.394720000000007,,,,Lower Slope
174,B18-10353,33.944266669999998,-118.771433299999998,,,,Lower Slope
175,B18-10355,33.883699999999997,-118.790040000000005,,,,Lower Slope
176,B18-10358,33.833829999999999,-118.952489999999997,,,,Lower Slope
177,B18-10359,33.832383329999999,-118.649433299999998,,,,Lower Slope
178,B18-10363,33.613540000000000,-118.720140000000001,,,,Lower Slope
179,B18-10055,33.755510000000001,-118.129859999999994,,,,Marina
180,B18-10056,33.755499999999998,-118.113810000000001,,,,Marina
181,B18-10046,34.171199999999999,-119.223500000000001,,,,Marina
182,B18-10065,33.460658410000001,-117.700900899999993,,,,Marina
183,B18-10066,33.460092930000002,-117.693975499999993,,,,Marina
184,B18-10067,33.458842070000003,-117.699245300000001,,,,Marina
185,B18-10068,33.457617749999997,-117.691394700000004,,,,Marina
186,B18-10058,33.713050000000003,-118.053790000000006,,,,Marina
187,B18-10054,33.760280000000002,-118.187380000000005,Los Angeles River,,,Marina
188,B18-10052,33.773667000000003,-118.247649999999993,,,,Port
189,B18-10053,33.767232999999997,-118.249650000000003,,,,Marina
190,B18-10057,33.719250000000002,-118.281317000000001,,,,Marina
191,B18-10047,33.982979999999998,-118.450720000000004,,,,Marina
192,B18-10048,33.980249999999998,-118.450900000000004,,,,Marina
193,B18-10049,33.975200000000001,-118.456090000000003,,,,Marina
194,B18-10050,33.970370000000003,-118.447760000000002,,,,Marina
195,B18-10051,33.964630000000000,-118.453829999999996,,,,Marina
196,B18-10073,32.780598310000002,-117.249257600000007,,,,Marina
197,B18-10074,32.777067690000003,-117.249966999999998,,,,Marina
198,B18-10075,32.767275159999997,-117.235759599999994,,,,Marina
199,B18-10059,33.619091030000000,-117.927146899999997,,,,Marina
200,B18-10060,33.615051270000002,-117.925087000000005,,,,Marina
201,B18-10061,33.612480159999997,-117.905372600000007,,,,Marina
202,B18-10062,33.608791349999997,-117.904769900000005,,,,Marina
203,B18-10063,33.606491089999999,-117.911247299999999,,,,Marina
204,B18-10064,33.596530909999998,-117.880271899999997,,,,Marina
205,B18-10069,33.212760000000003,-117.395139999999998,,,,Marina
206,B18-10070,33.209290000000003,-117.395319999999998,,,,Marina
207,B18-10071,33.207979999999999,-117.397536700000003,San Luis Rey River,,,Marina
208,B18-10072,33.204279999999997,-117.391369999999995,,,,Marina
209,B18-10076,32.726537380000003,-117.176543600000002,,,,Marina
210,B18-10077,32.724960000000003,-117.183350000000004,,,,Marina
211,B18-10078,32.723036059999998,-117.223727600000004,,,,Marina
212,B18-10079,32.720458020000002,-117.220778600000003,,,,Marina
213,B18-10080,32.718816269999998,-117.226291700000004,,,,Marina
214,B18-10081,32.718230390000002,-117.230397600000003,,,,Marina
215,B18-10082,32.716430000000003,-117.226619999999997,,,,Marina
216,B18-10083,32.712555250000001,-117.231310699999995,,,,Marina
217,B18-10084,32.712080000000000,-117.232820000000004,,,,Marina
218,B18-10085,32.625882670000003,-117.135706099999993,,,,Marina
219,B18-10086,32.623549539999999,-117.133625100000003,,,,Marina
220,B18-10087,32.621660710000000,-117.102168599999999,,,,Marina
221,B18-10088,32.621530000000000,-117.130150000000000,,,,Marina
222,B18-10045,34.258440000000000,-119.266900000000007,,,,Marina
223,B18-10243,34.400810000000000,-119.832769999999996,,Small,Goleta,Mid Shelf
224,B18-10244,34.359099999999998,-119.825010000000006,,,,Mid Shelf
225,B18-10245,34.357599999999998,-119.673770000000005,,,,Mid Shelf
226,B18-10246,34.344099999999997,-119.562529999999995,,,,Mid Shelf
227,B18-10247,34.311909999999997,-119.547709999999995,,,,Mid Shelf
228,B18-10248,34.229840000000003,-119.518199999999993,,,,Mid Shelf
229,B18-10249,34.195880000000002,-119.390640000000005,,,,Mid Shelf
230,B18-10250,34.052799999999998,-119.049066699999997,,,,Mid Shelf
231,B18-10251,34.015720000000002,-118.912160000000000,,,,Mid Shelf
232,B18-10265,33.269849999999998,-117.564909999999998,,,,Mid Shelf
233,B18-10266,33.265540000000001,-117.533379999999994,,,,Mid Shelf
